Date,Open,High,Low,Close,Adj Close,Volume
2022-06-21,42.422699,42.422699,42.422699,42.422699,42.422699,0
2022-06-22,42.056000,42.056000,42.056000,42.056000,42.056000,0
2022-06-23,42.434200,42.434200,42.434200,42.434200,42.434200,0
2022-06-24,42.829899,42.829899,42.829899,42.829899,42.829899,0
2022-06-27,43.354198,43.354198,43.354198,43.354198,43.354198,0
2022-06-28,43.617001,43.617001,43.617001,43.617001,43.617001,0
2022-06-29,43.367100,43.367100,43.367100,43.367100,43.367100,0
2022-06-30,43.226501,43.226501,43.226501,43.226501,43.226501,0
2022-07-01,43.269001,43.269001,43.269001,43.269001,43.269001,0
2022-07-04,43.611099,43.611099,43.611099,43.611099,43.611099,0
2022-07-05,43.708199,43.708199,43.708199,43.708199,43.708199,0
2022-07-06,44.258999,44.258999,44.258999,44.258999,44.258999,0
2022-07-07,44.726601,44.726601,44.726601,44.726601,44.726601,0
2022-07-08,44.943501,44.943501,44.943501,44.943501,44.943501,0
2022-07-11,45.097801,45.097801,45.097801,45.097801,45.097801,0
2022-07-12,44.751598,44.751598,44.751598,44.751598,44.751598,0
2022-07-13,44.635300,44.635300,44.635300,44.635300,44.635300,0
2022-07-14,44.476101,44.476101,44.476101,44.476101,44.476101,0
2022-07-15,44.693001,44.693001,44.693001,44.693001,44.693001,0
2022-07-18,45.307598,45.307598,45.307598,45.307598,45.307598,0
2022-07-19,45.658100,45.658100,45.658100,45.658100,45.658100,0
2022-07-20,45.827000,45.827000,45.827000,45.827000,45.827000,0
2022-07-21,46.268299,46.268299,46.268299,46.268299,46.268299,0
2022-07-22,46.406601,46.406601,46.406601,46.406601,46.406601,0
2022-07-25,46.458599,46.458599,46.458599,46.458599,46.458599,0
2022-07-26,46.151699,46.151699,46.151699,46.151699,46.151699,0
2022-07-27,46.348999,46.348999,46.348999,46.348999,46.348999,0
2022-07-28,46.636799,46.636799,46.636799,46.636799,46.636799,0
2022-07-29,47.005699,47.005699,47.005699,47.005699,47.005699,0
2022-08-01,47.474201,47.474201,47.474201,47.474201,47.474201,0
2022-08-02,47.499802,47.499802,47.499802,47.499802,47.499802,0
2022-08-03,47.542999,47.542999,47.542999,47.542999,47.542999,0
2022-08-04,47.675400,47.675400,47.675400,47.675400,47.675400,0
2022-08-05,47.908798,47.908798,47.908798,47.908798,47.908798,0
2022-08-08,48.019199,48.019199,48.019199,48.019199,48.019199,0
2022-08-10,47.897400,47.897400,47.897400,47.897400,47.897400,0
2022-08-11,48.239799,48.239799,48.239799,48.239799,48.239799,0
2022-08-12,48.301601,48.301601,48.301601,48.301601,48.301601,0
2022-08-16,48.521500,48.521500,48.521500,48.521500,48.521500,0
2022-08-17,48.818600,48.818600,48.818600,48.818600,48.818600,0
2022-08-18,48.827702,48.827702,48.827702,48.827702,48.827702,0
2022-08-19,48.414001,48.414001,48.414001,48.414001,48.414001,0
2022-08-22,47.787201,47.787201,47.787201,47.787201,47.787201,0
2022-08-23,47.938099,47.938099,47.938099,47.938099,47.938099,0
2022-08-24,48.089001,48.089001,48.089001,48.089001,48.089001,0
2022-08-25,48.242298,48.242298,48.242298,48.242298,48.242298,0
2022-08-26,48.467800,48.467800,48.467800,48.467800,48.467800,0
2022-08-29,48.034599,48.034599,48.034599,48.034599,48.034599,0
2022-08-30,49.010700,49.010700,49.010700,49.010700,49.010700,0
2022-09-01,48.904099,48.904099,48.904099,48.904099,48.904099,0
2022-09-02,49.030800,49.030800,49.030800,49.030800,49.030800,0
2022-09-05,49.445202,49.445202,49.445202,49.445202,49.445202,0
2022-09-06,49.566101,49.566101,49.566101,49.566101,49.566101,0
2022-09-07,49.698898,49.698898,49.698898,49.698898,49.698898,0
2022-09-08,50.108002,50.108002,50.108002,50.108002,50.108002,0
2022-09-09,50.248001,50.248001,50.248001,50.248001,50.248001,0
2022-09-12,50.633801,50.633801,50.633801,50.633801,50.633801,0
2022-09-13,50.775101,50.775101,50.775101,50.775101,50.775101,0
2022-09-14,50.796001,50.796001,50.796001,50.796001,50.796001,0
2022-09-15,50.695900,50.695900,50.695900,50.695900,50.695900,0
2022-09-16,49.751499,49.751499,49.751499,49.751499,49.751499,0
2022-09-19,49.841702,49.841702,49.841702,49.841702,49.841702,0
2022-09-20,50.443401,50.443401,50.443401,50.443401,50.443401,0
2022-09-21,50.187401,50.187401,50.187401,50.187401,50.187401,0
2022-09-22,50.035099,50.035099,50.035099,50.035099,50.035099,0
2022-09-23,49.107601,49.107601,49.107601,49.107601,49.107601,0
2022-09-26,48.046101,48.046101,48.046101,48.046101,48.046101,0
2022-09-27,48.145599,48.145599,48.145599,48.145599,48.145599,0
2022-09-28,47.840199,47.840199,47.840199,47.840199,47.840199,0
2022-09-29,47.953701,47.953701,47.953701,47.953701,47.953701,0
2022-09-30,48.696999,48.696999,48.696999,48.696999,48.696999,0
2022-10-03,48.250301,48.250301,48.250301,48.250301,48.250301,0
2022-10-04,49.174599,49.174599,49.174599,49.174599,49.174599,0
2022-10-06,49.370399,49.370399,49.370399,49.370399,49.370399,0
2022-10-07,49.347401,49.347401,49.347401,49.347401,49.347401,0
2022-10-10,49.234501,49.234501,49.234501,49.234501,49.234501,0
2022-10-11,48.676601,48.676601,48.676601,48.676601,48.676601,0
2022-10-12,48.748402,48.748402,48.748402,48.748402,48.748402,0
2022-10-13,48.595798,48.595798,48.595798,48.595798,48.595798,0
2022-10-14,48.836601,48.836601,48.836601,48.836601,48.836601,0
2022-10-17,49.094299,49.094299,49.094299,49.094299,49.094299,0
2022-10-18,49.613201,49.613201,49.613201,49.613201,49.613201,0
2022-10-19,49.616001,49.616001,49.616001,49.616001,49.616001,0
2022-10-20,49.770599,49.770599,49.770599,49.770599,49.770599,0
2022-10-21,49.791801,49.791801,49.791801,49.791801,49.791801,0
2022-10-24,null,null,null,null,null,null
2022-10-25,50.393101,50.393101,50.393101,50.393101,50.393101,0
2022-10-27,50.632301,50.632301,50.632301,50.632301,50.632301,0
2022-10-28,50.436901,50.436901,50.436901,50.436901,50.436901,0
